hour_of_day,day_of_week,target_avg_gas_gwei,cell_tx_count,hour_tx_count,hour_p95_gas_gwei,hour_avg_tx_cost_gwei,hour_total_gas_used,day_tx_count,day_avg_tx_cost_gwei,hour_sin,hour_cos,day_1,day_2,day_3,day_4,day_5,day_6,day_7
11,1,1.0992060620488826,80745,538831,3.138485529,124102.53662633151,50741474189.0,1894969,120842.2398740505,0.258819045102521,-0.9659258262890682,1,0,0,0,0,0,0
12,1,1.111598663492503,82637,544375,4.155753603,192741.2652550277,51208147906.0,1894969,120842.2398740505,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0
13,1,1.149362971624426,86271,552279,6.608573155,243132.875927153,50820171169.0,1894969,120842.2398740505,-0.2588190451025208,-0.9659258262890683,1,0,0,0,0,0,0
14,1,1.405064330594541,87496,558832,9.447355187,336797.41371590673,50951921669.0,1894969,120842.2398740505,-0.4999999999999998,-0.8660254037844388,1,0,0,0,0,0,0
15,1,1.4477152667076922,87616,567377,7.704733753,283292.0843289813,50309638828.0,1894969,120842.2398740505,-0.7071067811865471,-0.7071067811865479,1,0,0,0,0,0,0
16,1,1.4553217536488376,89403,569480,7.708683906,301445.1180262856,50732784786.0,1894969,120842.2398740505,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,0
17,1,1.4875233518228848,86995,556440,5.667083929,214597.61240003238,50388873972.0,1894969,120842.2398740505,-0.9659258262890683,-0.25881904510252063,1,0,0,0,0,0,0
18,1,1.6565576231154695,86474,551048,5.0,210561.236023189,50756939288.0,1894969,120842.2398740505,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0
19,1,1.8596530520231427,85942,543603,3.952595007,198096.57722458255,51042663179.0,1894969,120842.2398740505,-0.9659258262890684,0.2588190451025203,1,0,0,0,0,0,0
20,1,1.5262223084457407,83883,532396,5.0,196943.1745361734,50698040651.0,1894969,120842.2398740505,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0
21,1,1.2926812115665742,81880,519375,4.219433032,182842.23581879432,50523579970.0,1894969,120842.2398740505,-0.7071067811865477,0.7071067811865474,1,0,0,0,0,0,0
22,1,1.1074203893596302,79704,502256,3.254979462,147884.03596702655,50985649917.0,1894969,120842.2398740505,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,0
23,1,1.0194762915761069,80313,483295,2.848214627,127258.11776559443,50853783944.0,1894969,120842.2398740505,-0.25881904510252157,0.9659258262890681,1,0,0,0,0,0,0
0,2,1.310980147875047,58085,484990,3.171828544,161276.97602343073,51152781593.0,1638250,168998.64054232003,0.0,1.0,0,1,0,0,0,0,0
1,2,1.2662537137614387,58999,481817,2.938983493,132744.70308806928,50815705575.0,1638250,168998.64054232003,0.25881904510252074,0.9659258262890683,0,1,0,0,0,0,0
2,2,1.4299063222774195,62119,483202,2.770655318,124866.9210751538,50553730146.0,1638250,168998.64054232003,0.49999999999999994,0.8660254037844387,0,1,0,0,0,0,0
3,2,1.323727795873697,60854,474211,3.006172715,129894.96436468957,50511325974.0,1638250,168998.64054232003,0.7071067811865475,0.7071067811865476,0,1,0,0,0,0,0
4,2,1.2035093806192392,58257,457672,2.746325303,118115.14950072966,51123444366.0,1638250,168998.64054232003,0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0
5,2,1.3278550718521323,59472,461609,2.976374754,144345.6777807633,50297783033.0,1638250,168998.64054232003,0.9659258262890683,0.25881904510252074,0,1,0,0,0,0,0
6,2,1.2148572978400316,70389,488948,2.841468245,118527.5376751284,51297981504.0,1638250,168998.64054232003,1.0,6.123233995736766e-17,0,1,0,0,0,0,0
7,2,1.2744420898011035,67276,511464,3.212747564,145744.4957535539,51233059047.0,1638250,168998.64054232003,0.9659258262890683,-0.25881904510252063,0,1,0,0,0,0,0
8,2,1.2875891946919205,70917,530861,3.128127865,133008.6865581635,51265101293.0,1638250,168998.64054232003,0.8660254037844387,-0.49999999999999983,0,1,0,0,0,0,0
9,2,1.2491265154484683,77203,544143,3.204936734,121028.68581937907,50511926677.0,1638250,168998.64054232003,0.7071067811865476,-0.7071067811865475,0,1,0,0,0,0,0
10,2,1.3947167849463964,71787,543923,3.385919202,132920.63995143623,51001745170.0,1638250,168998.64054232003,0.49999999999999994,-0.8660254037844387,0,1,0,0,0,0,0
11,2,1.3859116132525031,72696,538831,3.138485529,124102.53662633151,50741474189.0,1638250,168998.64054232003,0.258819045102521,-0.9659258262890682,0,1,0,0,0,0,0
12,2,1.539375752202491,73218,544375,4.155753603,192741.2652550277,51208147906.0,1638250,168998.64054232003,1.2246467991473532e-16,-1.0,0,1,0,0,0,0,0
13,2,2.0974183172569862,72627,552279,6.608573155,243132.875927153,50820171169.0,1638250,168998.64054232003,-0.2588190451025208,-0.9659258262890683,0,1,0,0,0,0,0
14,2,2.594136342046937,73287,558832,9.447355187,336797.41371590673,50951921669.0,1638250,168998.64054232003,-0.4999999999999998,-0.8660254037844388,0,1,0,0,0,0,0
15,2,2.1106705031197586,74082,567377,7.704733753,283292.0843289813,50309638828.0,1638250,168998.64054232003,-0.7071067811865471,-0.7071067811865479,0,1,0,0,0,0,0
16,2,2.3476204685339916,72621,569480,7.708683906,301445.1180262856,50732784786.0,1638250,168998.64054232003,-0.8660254037844384,-0.5000000000000004,0,1,0,0,0,0,0
17,2,1.9102673569114144,72754,556440,5.667083929,214597.61240003238,50388873972.0,1638250,168998.64054232003,-0.9659258262890683,-0.25881904510252063,0,1,0,0,0,0,0
18,2,1.5602944445885254,72816,551048,5.0,210561.236023189,50756939288.0,1638250,168998.64054232003,-1.0,-1.8369701987210297e-16,0,1,0,0,0,0,0
19,2,1.8928342740383388,71132,543603,3.952595007,198096.57722458255,51042663179.0,1638250,168998.64054232003,-0.9659258262890684,0.2588190451025203,0,1,0,0,0,0,0
20,2,2.575967346561005,70989,532396,5.0,196943.1745361734,50698040651.0,1638250,168998.64054232003,-0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0
21,2,1.9968735075454054,68283,519375,4.219433032,182842.23581879432,50523579970.0,1638250,168998.64054232003,-0.7071067811865477,0.7071067811865474,0,1,0,0,0,0,0
22,2,1.4363326791815794,65415,502256,3.254979462,147884.03596702655,50985649917.0,1638250,168998.64054232003,-0.5000000000000004,0.8660254037844384,0,1,0,0,0,0,0
23,2,1.4171190110387957,62972,483295,2.848214627,127258.11776559443,50853783944.0,1638250,168998.64054232003,-0.25881904510252157,0.9659258262890681,0,1,0,0,0,0,0
0,3,1.381712815963425,64636,484990,3.171828544,161276.97602343073,51152781593.0,1670294,192218.91819584285,0.0,1.0,0,0,1,0,0,0,0
1,3,1.3768498412620882,60968,481817,2.938983493,132744.70308806928,50815705575.0,1670294,192218.91819584285,0.25881904510252074,0.9659258262890683,0,0,1,0,0,0,0
2,3,1.2011422302273034,61759,483202,2.770655318,124866.9210751538,50553730146.0,1670294,192218.91819584285,0.49999999999999994,0.8660254037844387,0,0,1,0,0,0,0
3,3,1.248381723205229,62160,474211,3.006172715,129894.96436468957,50511325974.0,1670294,192218.91819584285,0.7071067811865475,0.7071067811865476,0,0,1,0,0,0,0
4,3,1.4618476653952721,59258,457672,2.746325303,118115.14950072966,51123444366.0,1670294,192218.91819584285,0.8660254037844386,0.5000000000000001,0,0,1,0,0,0,0
5,3,1.1107247017974737,58279,461609,2.976374754,144345.6777807633,50297783033.0,1670294,192218.91819584285,0.9659258262890683,0.25881904510252074,0,0,1,0,0,0,0
6,3,1.1429458074807832,62263,488948,2.841468245,118527.5376751284,51297981504.0,1670294,192218.91819584285,1.0,6.123233995736766e-17,0,0,1,0,0,0,0
7,3,2.192460575927417,67729,511464,3.212747564,145744.4957535539,51233059047.0,1670294,192218.91819584285,0.9659258262890683,-0.25881904510252063,0,0,1,0,0,0,0
8,3,1.3112659625685346,72715,530861,3.128127865,133008.6865581635,51265101293.0,1670294,192218.91819584285,0.8660254037844387,-0.49999999999999983,0,0,1,0,0,0,0
9,3,1.389137932612042,73245,544143,3.204936734,121028.68581937907,50511926677.0,1670294,192218.91819584285,0.7071067811865476,-0.7071067811865475,0,0,1,0,0,0,0
